nogomet,football,Fußball,Fotbal,sokker,futboll,futbol,Fodbold,Amerikaans voetbal,Jalgpall,Football,jalkapallo,Football,fútbol,foutbòl,fótbolti,sepak bola,sacar,calcio,futbols,futbolas,Fotball,futbol,fútbol,nogomet,futbal
odbojka,volleyball,Volleyball,volejbal,vlugbal,volejboll,voleibol,Volleyball,volleybal,võrkpall,volleyball,Lentopallo,volley-ball,voleibol,volebòl,Blak,bola voli,eitpheil,pallavolo,volejbols,Tinklinis,volleyball,Volleyball,vóleibol,odbojka,volejbal
tenis,tennis,Tennis,tenis,tennis,tenis,tenis,tennis,tennis,tennis,tennis,tennis,tennis,tenis,tenis,Tennis,tenis,Leadóg,tennis,teniss,tenisas,tennis,tennis,tenis,tenis,tenisový
hokej,hockey,Eishockey,hokej,hokkie,hokej,l’hoquei,Hockey,hockey,hok,hockey,jääkiekko,le hockey,Hockey,kay,íshokkí,hoki,haca,hockey,hokejs,ledo ritulys,hockey,hockey,hockey,hokej,hokej
kriket,cricket,Kricket,kriket,krieket,kriket,cricket,cricket,cricket,kriket,kuliglig,kriketti,criquet,cricket,krikèt,Krikket,jangkrik,criogar,cricket,krikets,Kriketas,siriss,cricket,Grillo,Kriket,kriket
skijanje,skiing,Skifahren,lyžování,ski,ski,esquiar,stå på ski,skiën,suusatamine,Skiing,hiihto,ski,esquí,ski,skíði,Ski,sciáil,sciare,slēpošana,slidinėjimas,stå på ski,skiing,esquí,smučanje,lyžovanie
hrvanje,wrestling,Ringen,zápas,stoei,mundje,lluita,brydning,worstelen,maadlus,Pakikipagbuno,paini,lutte,Loita,lit,Glíma,gulat,coraíocht,wrestling,cīkstēšanās,Imtynės,bryting,lotta,lucha,rokoborba,zápas
gimnastika,gymnastics,Gymnastik,gymnastika,gimnastiek,gjimnastikë,gimnàs,gymnastik,gymnastiek,võimlemine,Gymnastics,voimistelu,gymnastique,Ximnasia,jimnastik,Fimleikar,olahraga senam,gleacaíocht,ginnastica,vingrošana,gimnastika,gymnastikk,ġinnastika,gimnasia,Gimnastika,gymnastika
stolni tenis,table tennis,Tischtennis,stolní tenis,tafeltennis,pingpong,tennis taula,bordtennis,tafeltennis,lauatennis,tennis ng talahanayan,Pöytätennis,tennis de table,Tenis de mesa,Tenis tab,borðtennis,tenis meja,Leadóg bhoird,Tennis da tavolo,galda teniss,stalo tenisas,bordtennis,Tennis tat-Tabella,Tenis de mesa,namizni tenis,stolný tenis
snooker,Snooker,Snooker,Snooker,Snoeker,Zagar,Snooker,Snooker,Snooker,Snooker,Snooker,Snooker,Billard,Snooker,Sòti,Snóker,Snooker,Sicéir,Snooker,Snūkers,Snukeris,Snooker,Snooker,Snooker,Snooker,Hanbet
plivanje,swimming,Baden,plavání,swem,not,natació,svømning,zwemmen,ujumine,paglangoy,uima-,natation,nadar,naje,Sund,renang,snámh,nuoto,peldēšana,plaukimas,svømming,Għawm,natación,plavanje,kúpanie
biciklizam,cycling,Radfahren,cyklistika,fietsry,çiklizëm,ciclisme,cykling,wielersport,jalgrattasõit,pagbibisikleta,pyöräily,vélo,ciclismo,monte bisiklèt,hjóla,bersepeda,rothaíocht,Ciclismo,riteņbraukšana,dviračiu Sportas,sykling,ċikliżmu,ciclismo,kolesarjenje,cyklistika
badminton,badminton,Badminton,badminton,badminton,badminton,bàdminton,Badminton,badminton,sulgpall,Badminton,sulkapallo,badminton,bádminton,badminton,badmínton,bulu tangkis,badmantan,badminton,badmintons,Badmintonas,badminton,badminton,bádminton,Badminton,bedminton
golf,golf,Golf,golf,golf,golf,golf,golf,golf,golf,Golf,golf,le golf,golf,golf,Golf,golf,galf,golf,golfs,Golfas,golf,golf,golf,golf,golf
motociklizam,motorcycle,Motorrad,motocykl,motorfiets,motor,moto,motorcykel,motorfiets,mootorratas,motorsiklo,moottoripyörä,moto,moto,motosiklèt,Mótorhjól,sepeda motor,gluaisrothar,motociclo,motocikls,Motociklas,motorsykkel,mutur,motocicleta,motocikel,motocykel
bejzbol,baseball,Baseball,baseball,bofbal,bejsboll,beisbol,Baseball,basketbal,pesapall,Baseball,baseball,base-ball,béisbol,boutik,Baseball,baseball,daorchluiche,baseball,beisbols,Beisbolas,baseball,baseball,béisbol,Baseball,baseball
boks,boxing,Boxen,box,boks,boks,boxa,boksning,boksen,poks,Boxing,nyrkkeily,boxe,boxeo,boksè,Hnefaleika,tinju,dornáil,boxe,bokss,Boksas,boksing,boxing,boxeo,boks,box
ragbi,rugby,Rugby,ragby,rugby,rugby,rugby,Rugby,rugby,ragbi,Rugby,rugby,le rugby,Rugby,Rugbi,Rugby,ragbi,rugbaí,Rugby,regbijs,Regbis,rugby,Rugby,rugby,ragbi,ragby
navijanje,winding,Wicklung,navíjení,krongrens,dredha -dredha,Ventós,snoet,kronkelend,mähis,paikot -ikot,käämitys,enroulement,Enrolamento,prentan,vinda,lekok,foirceann,avvolgimento,līkums,vingiavimas,svingete,stralċ,devanado,vijuganje,vinutie
lopta,Ball,Ball,Míč,Bal,Top,Pilota,Bold,Bal,Kuuli,Ball,Pallo,Balle,Bola,Bal,Bolti,Bola,Sláine,Sfera,Bumba,Rutulys,Ball,Ballun,Pelota,Žoga,Loptička
udarac,striker,Stürmer,útočník,aanvaller,sulmues,davanter,Striker,spits,ründaja,striker,hyökkääjä,le buteur,dianteiro,atakan,framherji,Striker,tosaí,attaccante,streikotājs,Puolėjas,spiss,attakkant,huelguista,napadalec,útočník
gol,naked,nackt,nahý,naak,i zhveshur,un,nøgen,naakt,alasti,hubad,alasti,nu,espido,toutouni,nakinn,telanjang,nocht,nudo,kails,Nuogas,naken,mikxufa,desnudo,gola,neohrozený
stativa,tripod,Stativ,stativ,driepoot,trekëmbësh,trípode,stativ,statief,statiiv,tripod,jalusta,trépied,trípode,tripod,þrífót,tripod,tripéid,treppiedi,statīvs,trikojis,stativ,tripod,trípode,stativ,statív
igrač,player,Spieler,hráč,toneelspeler,lojtar,jugadora,spiller,speler,mängija,manlalaro,pelaaja,joueur,xogador,jwè,Leikmaður,pemain,seinnteoir,giocatore,spēlētājs,žaidėjas,spiller,plejer,jugador,igralec,hráč
momčad,team,Mannschaft,tým,span,skuadër,equip,hold,team,meeskond,Koponan,tiimi,équipe,equipo,ekip,lið,tim,foireann,squadra,komanda,komanda,team,tim,equipo,Ekipa,tím
vratar,goalkeeper,Torwart,brankář,doelwagter,portier,porter,målmand,doelman,väravavaht,goalkeeper,maalivahti,gardien de but,Porteiro,meyè gadyen,Markvörður,kiper,báireoir,portiere,vārtsargs,vartininkas,keeper,gowlkiper,portero,vratar,brankár
dres,jersey,Jersey,trikot,trui,triko,jersei,Jersey,Jersey,trikotapp,Jersey,jersey,Jersey,Xersei,zoorik,Jersey,Jersey,geansaí,maglia,krekls,Džersis,Jersey,Jersey,jersey,Jersey,dres
sudac,referee,Schiedsrichter,rozhodčí,skeidsregter,gjyqtar,àrbitre,Dommer,scheidsrechter,kohtunik,referee,tuomari,arbitre,Árbitro,abit,Dómari,wasit,réiteoir,arbitro,tiesnesis,teisėjas,dommer,Referee,árbitro,sodnik,rozhodca
prednost,advantage,Vorteil,výhoda,voordeel,avantazh,avantatge,fordel,voordeel,eelis,kalamangan,etu,avantage,vantaxe,avantaj,Kostir,keuntungan,buntáiste a thabhairt do,vantaggio,priekšrocība,pranašumas,fordel,vantaġġ,ventaja,prednost,výhoda
poluvrijeme,halftime,Halbzeit,poločas,halftyd,pjesë e kohës së parë,mitja part,halvleg,rust,poolaeg,Kalahating oras,puoliaika,Mi-temps,medio tempo,mari,hálfleikur,setengah waktu,leathama,metà tempo,Puslaiks,Pusnas,pause,il-mistrieħ,medio tiempo,polčas,polčas
reket,racket,Schläger,raketa,raket,raketë,raqueta,racket,racket,reket,raketa,maila,raquette,Racket,etajè,Gauragangur,raket,borsta,racchetta,rakete,raketė,rekkert,Racket,raqueta,raketa,raketa
skije,skis,Skier,lyže,ski's,ski,esquís,ski,ski's,suusad,Skis,sukset,des skis,esquís,ski,skíð,ski,sciáil,sci,slēpes,slidės,ski,skis,esquís,smuči,lyže
skija,ski,Ski,lyže,ski,ski,esquiar,ski,ski,suusa,Ski,hiihtää,ski,esquí,fè eski,SKI,main ski,té,sciare,slēpot,slidinėjimas,ski,ski,esquí,smuči,lyžiar
rukavica,glove,Handschuh,rukavice,handskoen,dorezë,guant,handske,handschoen,kinnas,guwantes,käsine,gant,luva,gan,hanska,sarung tangan,lámhainn,guanto,cimds,pirštinė,hanske,ingwanta,guante,rokavice,rukavica
palica,stick,Stock,lepit,stok,ngjit,pal,Pind,stok,kleepuma,dumikit,tarttua,coller,Stick,baton,Stick,tongkat,bata,bastone,pielipt,priklijuoti,pinne,stick,palo,palico,palica
biciklo,bike,Fahrrad,kolo,fiets,biciklete,cicle,cykel,fiets,jalgratas,Bike,pyörä,Bicyclette,bicicleta,bisiklèt,Reiðhjól,sepeda,rosca,bicicletta,velosipēds,dviratis,sykkel,rota,bicicleta,kolo,bicykel
zavoji,bandages,Verbände,obvazy,bandages,fashë,embuts,bandager,verbanden,sidemed,bendahe,siteet,des pansements,vendas,pw de,sárabindi,Perban,bindealán,bende,pārsēja,tvarsčiai,bandasjer,faxex,vendajes,povoji,obväzy
štitnik,protector,Schutz,ochránce,beskermer,mbrojtës,protector,protektor,beschermer,kaitsja,tagapagtanggol,suojelija,protecteur,Protector,protektè,Verndari,pelindung,cosantóir,protettore,aizsargs,gynėjas,beskytter,protettur,protector,zaščitnik,ochranca
štap,stick,Stock,lepit,stok,ngjit,pal,Pind,stok,kleepuma,dumikit,tarttua,coller,Stick,baton,Stick,tongkat,bata,bastone,pielipt,priklijuoti,pinne,stick,palo,palico,palica
pobjeda,win,gewinnen,vyhrát,wen,fitoj,guanyar,vinde,winnen,võitma,Manalo,voittaa,gagner,gañar,genyen,VINNA,menang,bua,vincita,uzvarēt,laimėti,vinne,Irbaħ,victoria,zmaga,vyhrať
gubitak,loss,Verlust,ztráta,verlies,humbje,pèrdua,tab,verlies,kaotus,pagkawala,tappio,perte,perda,pèt,tap,kehilangan,caill,perdita,zaudējums,praradimas,tap,telf,pérdida,izguba,strata
nerješeno,unsolved,ungelöst,nevyřešený,onopgelos,i pazgjedhur,no resolt,uløst,onopgelost,lahendamata,hindi nalutas,ratkaisematon,non résolu,sen resolver,rezoud,óleyst,belum terpecahkan,gan réiteach,irrisolto,neatrisināts,neišspręstas,uløst,mhux solvut,no resuelto,nerešeno,nevyriešený
šah,chess,Schach,šachy,skaak,shah,escacs,skak,schaken,male,Chess,shakki,jeu d'échecs,xadrez,zechèk,skák,catur,ficheall,scacchi,šahs,Šachmatai,sjakk,ċess,ajedrez,šah,šachový
kapetan,captain,Kapitän,kapitán,kaptein,kapiten,capità,kaptajn,gezagvoerder,kapten,Kapitan,kapteeni,capitaine,Capitán,kapitènn,skipstjóri,Kapten,caire,Capitano,kapteinis,Kapitonas,kaptein,Kaptan,capitán,kapitan,kapitán
trener,coach,Coach,trenér,breier,trainer,entrenador,træner,coach,treener,coach,valmentaja,entraîneur,adestrador,antrenè,Þjálfari,pelatih,páirtí,allenatore,trenēt,treneris,trener,kowċ,entrenador,trener,tréner
taktika,tactics,Taktik,taktika,taktieke,taktikë,tàctica,taktik,tactiek,taktika,taktika,taktiikka,tactique,tácticas,taktik,Taktík,taktik,tactics,tattiche,taktika,taktika,taktikk,tattiċi,táctica,taktika,taktika
trčati,run,Lauf,běh,wedloop,vrapoj,correr,løb,rennen,jooksma,tumakbo,juosta,Cours,correr,kouri,Hlaupa,Lari,cuir ar siúl,correre,izkropļot,bėgti,løpe,ġirja,correr,teči,spustenie
mreža,mesh,Gittergewebe,pletivo,maas,rrjetë,malla,Mesh,mazen,võrgusilm,mesh,keikari,engrener,malla,la,möskva,mesh,mogalra,maglia,acs,Tinklelis,mesh,malja,malla,mreža,zaviazať
poen,point,Punkt,směřovat,punt,pikë,punt,punkt,punt,punkt,punto,kohta,indiquer,punto,sans,punktur,titik,pointe a fháil,punto,strīdēties,taškas,punkt,punt,punto,točka,bod
bod,point,Punkt,směřovat,punt,pikë,punt,punkt,punt,punkt,punto,kohta,indiquer,punto,sans,punktur,titik,pointe a fháil,punto,strīdēties,taškas,punkt,punt,punto,točka,bod
teren,terrain,Terrain,terén,terrein,terren,terreny,terræn,terrein,maastik,lupain,maasto,terrain,terreo,teren,landslag,medan,an tír -raon,terreno,reljefs,reljefas,terreng,art,terreno,teren,terén
kuglanje,bowling,Bowling,kuželky,boulwerk,bowling,boles,bowling,bowling,bowling,Bowling,keilailu,bowling,bolos,egzakteman,keilu,bowling,babhla,bowling,boulings,boulingas,bowling,bowling,bolos,keglanje,bowling
vaterpolo,water polo,Wasser Polo,vodní pólo,waterpolo,voter,waterpolo,vandpolo,waterpolo,veepolo,Water Polo,vesipoolo,water polo,Waterpolo,polo dlo,vatnapóló,polo air,póló uisce,pallanuoto,ūdens polo,Vandensvydis,vannpolo,Polo tal-ilma,Polo acuático,vaterpolo,vodné pólo
kapa,cap,Deckel,víčko,kap,kapak,tapa,kasket,dop,kork,takip,korkki,casquette,tapa,kouvèti,Cap,topi,caip,tappo,vāciņš,dangtelis,lokk,Kap,gorra,pokrov,čap
tenisice,sneakers,Turnschuhe,tenisky,sneakers,atlete,sabatilles,sneakers,sneakers,tossud,Mga sneaker,lenkkarit,baskets,zapatillas de deporte,tenis,strigaskór,sepatu kets,sneakers,scarpe da ginnastica,čības,sportbačiai,joggesko,sneakers,Zapatillas deportivas,superge,tenisky
kopačke,football boots,Fußballschuhe,kopačky,Sokkerstewels,çizme futbolli,botes de futbol,fodboldstøvler,voetbalschoenen,jalgpalli saapad,Mga bota ng football,jalkapallokengät,chaussures de football,Botas de fútbol,Bòt foutbòl,fótbolta stígvél,sepatu sepak bola,buataisí peile,scarpe da calcio,Futbola apavi,Futbolo bateliai,fotballsko,Boots tal-futbol,botas de fútbol,nogometni čevlji,kopačky
trampolin,trampoline,Trampolin,trampolína,trampolien,trampolinë,trampolí,trampolin,trampoline,batuut,trampolin,trampoliini,trampoline,Trampolín,trampolin,trampólín,trampolin,trampailín,trampolino,batuts,Batutas,trampoline,Trampolin,trampolín,trampolin,trampolína
prekršaj,foul,Foul,faul,vuil,faull,falta,Foul,vals,ebameeldiv,napakarumi,röyhkeä,faute,Falta,foad,villa,busuk,clainne,ripugnante,neievērot,pražanga,foul,fawl,falta,prekršek,neúnavný
streličarstvo,archery,Bogenschießen,lukostřelba,boogskiet,gjuajtje me Hark,tir amb arc,bueskydning,boogschieten,vibulaskmine,archery,jousiammunta,tir à l'archerie,tiro con arco,ti a lak,bogfimi,panahan,boghdóireacht,tiro con l'arco,šaušana ar loku,šaudymas iš lanko,bueskyting,Archery,tiro al arco,lokostrelstvo,lukostreľba
mačevanje,fencing,Fechten,oplocení,omheining,skermë,esgrima,hegn,schermen,vehklemine,Fencing,miekkailu,escrime,cercado,kloti,girðing,pagar,fiubadh,scherma,paukošana,tvoros,fekting,ċnut,Esgrima,ograje,oplotenie
navijati,root for,Wurzel für,kořen pro,wortel vir,rrënoj,arrel per,rod til,Toejuichen,kaasa elama,ugat para sa,kannustaa,racine pour,raíz para,rasin pou,rót fyrir,root untuk,fréamh do,radice per,sakne par,šaknis,heie på,għerq għal,raíz para,Koren za,fandiť
prvenstvo,priority,Priorität,přednost,prioriteit,prioritet,prioritat,prioritet,prioriteit,prioriteet,priyoridad,prioriteetti,priorité,prioridade,priyorite,forgang,prioritas,tosaíocht,priorità,prioritāte,prioritetas,prioritet,prijorità,prioridad,prednostna naloga,priorita
kup,cup,Tasse,pohár,koppie,gotë,tassa,kop,beker,tass,tasa,kuppi,Coupe,cunca,tas,bolli,cangkir,cupán,tazza,krūze,puodelis,kopp,tazza,taza,skodelica,pohár
pravila,rules,Regeln,pravidla,regeer,rregulla,normes,regler,reglement,reeglid,Mga Batas,sääntö,règles,regras,règ,Reglur,aturan,rianach,regole,noteikumi,taisyklės,regler,regoli,normas,pravila,pravidlá
igra,game,Spiel,hra,wild,lojë,joc,spil,spel,mängumäng,Laro,peli,Jeu,xogo,jwèt,Leikur,permainan,cluiche,gioco,spēle,Žaidimas,spill,logħba,juego,igra,hra
trud,effort,Anstrengung,snaha,poging,përpjekje,esforç,indsats,poging,pingutus,pagsisikap,ponnistus,effort,esforzo,efò,átak,upaya,iarracht,sforzo,piepūle,pastangos,innsats,sforz,esfuerzo,trud,úsilie
volja,will,Wille,vůle,testament,do,voluntat,vilje,zullen,tahe,Will,tahtoa,sera,vontade,testaman,mun,akan,tiomna,volere,griba,Valia,vil,se,voluntad,volja,vôľa
srce,heart,Herz,srdce,hart,zemër,cor,hjerte,hart,süda,Puso,sydän,cœur,corazón,kè,Hjarta,jantung,uchtach,cuore,sirds,širdis,hjerte,qalb,corazón,srce,Srdce
